Row,Column,Latitude,Longitude
1,1,21.241933188218148,81.3181044123709
1,2,21.241933188218148,81.31815363764748
1,3,21.241933188218148,81.31820286292407
1,4,21.241933188218148,81.31825208820067
1,5,21.241933188218148,81.31830131347725
1,6,21.241933188218148,81.31835053875385
1,7,21.241933188218148,81.31839976403043
1,8,21.241933188218148,81.31844898930703
1,9,21.241933188218148,81.31849821458361
1,10,21.241933188218148,81.3185474398602
2,1,21.241842762588735,81.3181044123709
2,2,21.241842762588735,81.31815363764748
2,3,21.241842762588735,81.31820286292407
2,4,21.241842762588735,81.31825208820067
2,5,21.241842762588735,81.31830131347725
2,6,21.241842762588735,81.31835053875385
2,7,21.241842762588735,81.31839976403043
2,8,21.241842762588735,81.31844898930703
2,9,21.241842762588735,81.31849821458361
2,10,21.241842762588735,81.3185474398602
3,1,21.241752336959323,81.3181044123709
3,2,21.241752336959323,81.31815363764748
3,3,21.241752336959323,81.31820286292407
3,4,21.241752336959323,81.31825208820067
3,5,21.241752336959323,81.31830131347725
3,6,21.241752336959323,81.31835053875385
3,7,21.241752336959323,81.31839976403043
3,8,21.241752336959323,81.31844898930703
3,9,21.241752336959323,81.31849821458361
3,10,21.241752336959323,81.3185474398602
4,1,21.24166191132991,81.3181044123709
4,2,21.24166191132991,81.31815363764748
4,3,21.24166191132991,81.31820286292407
4,4,21.24166191132991,81.31825208820067
4,5,21.24166191132991,81.31830131347725
4,6,21.24166191132991,81.31835053875385
4,7,21.24166191132991,81.31839976403043
4,8,21.24166191132991,81.31844898930703
4,9,21.24166191132991,81.31849821458361
4,10,21.24166191132991,81.3185474398602
5,1,21.241571485700497,81.3181044123709
5,2,21.241571485700497,81.31815363764748
5,3,21.241571485700497,81.31820286292407
5,4,21.241571485700497,81.31825208820067
5,5,21.241571485700497,81.31830131347725
5,6,21.241571485700497,81.31835053875385
5,7,21.241571485700497,81.31839976403043
5,8,21.241571485700497,81.31844898930703
5,9,21.241571485700497,81.31849821458361
5,10,21.241571485700497,81.3185474398602
6,1,21.241481060071084,81.3181044123709
6,2,21.241481060071084,81.31815363764748
6,3,21.241481060071084,81.31820286292407
6,4,21.241481060071084,81.31825208820067
6,5,21.241481060071084,81.31830131347725
6,6,21.241481060071084,81.31835053875385
6,7,21.241481060071084,81.31839976403043
6,8,21.241481060071084,81.31844898930703
6,9,21.241481060071084,81.31849821458361
6,10,21.241481060071084,81.3185474398602
7,1,21.24139063444167,81.3181044123709
7,2,21.24139063444167,81.31815363764748
7,3,21.24139063444167,81.31820286292407
7,4,21.24139063444167,81.31825208820067
7,5,21.24139063444167,81.31830131347725
7,6,21.24139063444167,81.31835053875385
7,7,21.24139063444167,81.31839976403043
7,8,21.24139063444167,81.31844898930703
7,9,21.24139063444167,81.31849821458361
7,10,21.24139063444167,81.3185474398602
8,1,21.24130020881226,81.3181044123709
8,2,21.24130020881226,81.31815363764748
8,3,21.24130020881226,81.31820286292407
8,4,21.24130020881226,81.31825208820067
8,5,21.24130020881226,81.31830131347725
8,6,21.24130020881226,81.31835053875385
8,7,21.24130020881226,81.31839976403043
8,8,21.24130020881226,81.31844898930703
8,9,21.24130020881226,81.31849821458361
8,10,21.24130020881226,81.3185474398602
9,1,21.241209783182846,81.3181044123709
9,2,21.241209783182846,81.31815363764748
9,3,21.241209783182846,81.31820286292407
9,4,21.241209783182846,81.31825208820067
9,5,21.241209783182846,81.31830131347725
9,6,21.241209783182846,81.31835053875385
9,7,21.241209783182846,81.31839976403043
9,8,21.241209783182846,81.31844898930703
9,9,21.241209783182846,81.31849821458361
9,10,21.241209783182846,81.3185474398602
10,1,21.241119357553433,81.3181044123709
10,2,21.241119357553433,81.31815363764748
10,3,21.241119357553433,81.31820286292407
10,4,21.241119357553433,81.31825208820067
10,5,21.241119357553433,81.31830131347725
10,6,21.241119357553433,81.31835053875385
10,7,21.241119357553433,81.31839976403043
10,8,21.241119357553433,81.31844898930703
10,9,21.241119357553433,81.31849821458361
10,10,21.241119357553433,81.3185474398602
